variant,blocked,horizon,layout_seed,model,model_label,biased_argmin_top1,strict_top1,tie_aware_top1,mean_tie_count,same_action_diff_state_win,same_action_diff_state_margin,same_action_diff_state_count,same_state_diff_action_win,same_state_diff_action_margin,same_state_diff_action_count
block4_h36_seed21,4,36,21,small_full_seed0,Small,0.609964,0.609964,0.609964,1.0,0.772175,0.036365,1646,0.952005,0.066217,1646
block4_h36_seed21,4,36,21,medium_full_seed0,Medium,0.573512,0.573512,0.573512,1.0,0.758809,0.038049,1646,0.90401,0.064739,1646
block4_h36_seed21,4,36,21,full_seed0,Full,0.538275,0.538275,0.538275,1.0,0.747874,0.035357,1646,0.900972,0.063839,1646
block4_h36_seed22,4,36,22,tiny_full_seed0,Tiny,0.599028,0.599028,0.599028,1.0,0.755772,0.031549,1646,0.946537,0.063874,1646
block4_h36_seed22,4,36,22,small_full_seed0,Small,0.622114,0.622114,0.622114,1.0,0.770352,0.035489,1646,0.954435,0.065669,1646
block4_h36_seed22,4,36,22,medium_full_seed0,Medium,0.592953,0.592953,0.592953,1.0,0.7661,0.035605,1646,0.904617,0.064671,1646
block4_h36_seed22,4,36,22,full_seed0,Full,0.556501,0.556501,0.556501,1.0,0.749089,0.035924,1646,0.888821,0.063971,1646
block4_h72_seed20,4,72,20,tiny_full_seed0,Tiny,0.581907,0.581907,0.581907,1.0,0.745721,0.0335,1636,0.948044,0.0631,1636
block4_h72_seed20,4,72,20,small_full_seed0,Small,0.574572,0.574572,0.574572,1.0,0.743888,0.037648,1636,0.943154,0.066088,1636
block4_h72_seed20,4,72,20,medium_full_seed0,Medium,0.570905,0.570905,0.570905,1.0,0.759169,0.037426,1636,0.926039,0.063772,1636
block4_h72_seed20,4,72,20,full_seed0,Full,0.53423,0.53423,0.53423,1.0,0.742054,0.03739,1636,0.882641,0.063084,1636
block4_h72_seed21,4,72,21,tiny_full_seed0,Tiny,0.585662,0.585662,0.585662,1.0,0.735115,0.031064,1646,0.953827,0.062504,1646
block4_h72_seed21,4,72,21,small_full_seed0,Small,0.609964,0.609964,0.609964,1.0,0.772175,0.036366,1646,0.952005,0.066217,1646
block4_h72_seed21,4,72,21,medium_full_seed0,Medium,0.573512,0.573512,0.573512,1.0,0.758809,0.038049,1646,0.90401,0.06474,1646
block4_h72_seed21,4,72,21,full_seed0,Full,0.538275,0.538275,0.538275,1.0,0.747874,0.035357,1646,0.900972,0.063839,1646
block4_h72_seed22,4,72,22,tiny_full_seed0,Tiny,0.599028,0.599028,0.599028,1.0,0.755772,0.03155,1646,0.946537,0.063874,1646
block4_h72_seed22,4,72,22,small_full_seed0,Small,0.622114,0.622114,0.622114,1.0,0.770352,0.035489,1646,0.954435,0.065669,1646
block4_h72_seed22,4,72,22,medium_full_seed0,Medium,0.592953,0.592953,0.592953,1.0,0.7661,0.035605,1646,0.904617,0.064671,1646
block4_h72_seed22,4,72,22,full_seed0,Full,0.556501,0.556501,0.556501,1.0,0.749089,0.035925,1646,0.888821,0.063972,1646
