cheap_seed,lambda,heldout,variant_label,method,utility,route_rate,n
0,0.1,block3_h72_seed14,"3-block, H=72",full,0.7184019370460051,1.0,413
0,0.1,block3_h72_seed14,"3-block, H=72",oracle,0.8794188861985474,0.16464891041162227,413
0,0.1,block3_h72_seed14,"3-block, H=72",confidence,0.7561743341404358,0.13801452784503632,413
0,0.1,block3_h72_seed14,"3-block, H=72",context_cls,0.7547215496368039,0.10411622276029056,413
0,0.1,block3_h72_seed14,"3-block, H=72",knn_context,0.7627118644067796,0.3389830508474576,413
0,0.1,block3_h72_seed14,"3-block, H=72",rh_context,0.7602905569007264,0.31476997578692495,413
0,0.1,block3_h72_seed14,"3-block, H=72",knn_context_latent,0.7803874092009685,0.162227602905569,413
0,0.1,block3_h72_seed14,"3-block, H=72",rh_context_latent,0.78135593220339,0.24939467312348668,413
0,0.2,block3_h72_seed14,"3-block, H=72",cheap,0.7312348668280871,0.0,413
0,0.2,block3_h72_seed14,"3-block, H=72",full,0.6184019370460048,1.0,413
0,0.2,block3_h72_seed14,"3-block, H=72",oracle,0.8629539951573849,0.16464891041162227,413
0,0.2,block3_h72_seed14,"3-block, H=72",confidence,0.7312348668280871,0.0,413
0,0.2,block3_h72_seed14,"3-block, H=72",context_cls,0.7443099273607747,0.10411622276029056,413
0,0.2,block3_h72_seed14,"3-block, H=72",knn_context,0.7288135593220338,0.3389830508474576,413
0,0.2,block3_h72_seed14,"3-block, H=72",rh_context,0.7278450363196126,0.162227602905569,413
0,0.2,block3_h72_seed14,"3-block, H=72",knn_context_latent,0.7457627118644068,0.0847457627118644,413
0,0.2,block3_h72_seed14,"3-block, H=72",rh_context_latent,0.7341404358353512,0.05811138014527845,413
0,0.3,block3_h72_seed14,"3-block, H=72",cheap,0.7312348668280871,0.0,413
0,0.3,block3_h72_seed14,"3-block, H=72",full,0.518401937046005,1.0,413
0,0.3,block3_h72_seed14,"3-block, H=72",oracle,0.8464891041162228,0.16464891041162227,413
0,0.3,block3_h72_seed14,"3-block, H=72",confidence,0.7312348668280871,0.0,413
0,0.3,block3_h72_seed14,"3-block, H=72",context_cls,0.7278450363196126,0.09200968523002422,413
0,0.3,block3_h72_seed14,"3-block, H=72",knn_context,0.7249394673123486,0.15012106537530268,413
0,0.3,block3_h72_seed14,"3-block, H=72",rh_context,0.712590799031477,0.14285714285714285,413
0,0.3,block3_h72_seed14,"3-block, H=72",knn_context_latent,0.7372881355932204,0.0847457627118644,413
0,0.3,block3_h72_seed14,"3-block, H=72",rh_context_latent,0.7329297820823244,0.002421307506053269,413
0,0.5,block3_h72_seed14,"3-block, H=72",cheap,0.7312348668280871,0.0,413
0,0.5,block3_h72_seed14,"3-block, H=72",full,0.31840193704600483,1.0,413
0,0.5,block3_h72_seed14,"3-block, H=72",oracle,0.8135593220338984,0.16464891041162227,413
0,0.5,block3_h72_seed14,"3-block, H=72",confidence,0.7312348668280871,0.0,413
0,0.5,block3_h72_seed14,"3-block, H=72",context_cls,0.7094430992736077,0.09200968523002422,413
0,0.5,block3_h72_seed14,"3-block, H=72",knn_context,0.7324455205811138,0.002421307506053269,413
0,0.5,block3_h72_seed14,"3-block, H=72",rh_context,0.7324455205811138,0.002421307506053269,413
0,0.5,block3_h72_seed14,"3-block, H=72",knn_context_latent,0.7215496368038741,0.048426150121065374,413
0,0.5,block3_h72_seed14,"3-block, H=72",rh_context_latent,0.7312348668280871,0.0,413
