lambda,heldout,variant_label,method,utility_mean,utility_std,route_rate_mean,route_rate_std,n
0.3,block3_h36_seed13,"3-block, H=36",rh_context,0.8634066829665853,0.017604477940734806,0.009779951100244499,0.010657454629683798,409
0.3,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.8642216788916056,0.01648388442718369,0.026079869600651995,0.02461233719729666,409
0.3,block3_h48_seed10,"3-block, H=48",cheap,0.867330016583748,0.01656300526984926,0.0,0.0,402
0.3,block3_h48_seed10,"3-block, H=48",confidence,0.867330016583748,0.01656300526984926,0.0,0.0,402
0.3,block3_h48_seed10,"3-block, H=48",context_cls,0.8543117744610282,0.017667529925160123,0.04892205638474295,0.0037998140090844453,402
0.3,block3_h48_seed10,"3-block, H=48",full,0.5407960199004976,0.0,1.0,0.0,402
0.3,block3_h48_seed10,"3-block, H=48",knn_context,0.8658374792703151,0.016883078040863555,0.02155887230514096,0.013700424246980352,402
0.3,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.86318407960199,0.0121126654964576,0.024875621890547265,0.010843032197862371,402
0.3,block3_h48_seed10,"3-block, H=48",oracle,0.8986733001658375,0.007037354027435733,0.04477611940298507,0.016312036130104478,402
0.3,block3_h48_seed10,"3-block, H=48",rh_context,0.866334991708126,0.016397796614239575,0.01990049751243781,0.01316294184609249,402
0.3,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8662520729684909,0.014168917815308364,0.017412935323383085,0.010843032197862371,402
0.3,block3_h72_seed14,"3-block, H=72",cheap,0.7917675544794189,0.05935908315802068,0.0,0.0,413
0.3,block3_h72_seed14,"3-block, H=72",confidence,0.7917675544794189,0.05935908315802068,0.0,0.0,413
0.3,block3_h72_seed14,"3-block, H=72",context_cls,0.7806295399515738,0.05172935212856807,0.053268765133171914,0.035668086834518734,413
0.3,block3_h72_seed14,"3-block, H=72",full,0.518401937046005,0.0,1.0,0.0,413
0.3,block3_h72_seed14,"3-block, H=72",knn_context,0.7897497982243745,0.06260114064149042,0.052461662631154156,0.08465347217241186,413
0.3,block3_h72_seed14,"3-block, H=72",knn_context_latent,0.790637610976594,0.05023984552889993,0.05488297013720742,0.028063500646834074,413
0.3,block3_h72_seed14,"3-block, H=72",oracle,0.8640839386602099,0.024645453423712514,0.10330912025827281,0.05448390260447997,413
0.3,block3_h72_seed14,"3-block, H=72",rh_context,0.7853107344632768,0.06900613113777912,0.05649717514124294,0.07596631228113071,413
0.3,block3_h72_seed14,"3-block, H=72",rh_context_latent,0.7944309927360775,0.05870909313855909,0.007263922518159807,0.010554234730122696,413
