lambda,heldout,variant_label,cheap,full,oracle,oracle_route,conf,conf_route,context_cls,context_cls_route,router,feature_set,util,route,k,rule
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,knn_gain,context_latent,0.8816625916870416,0.07823960880195599,15,gain_threshold
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,rescue_harm,context_latent,0.8787286063569681,0.09290953545232274,15,"thr=0.2000,cap=0.1333"
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,knn_gain,uncertainty,0.8865525672371639,0.019559902200488997,15,tuned_threshold
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,rescue_harm,uncertainty,0.8973105134474327,0.0,25,"thr=0.4000,cap=0.0400"
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,knn_gain,margin,0.8765281173594132,0.03667481662591687,50,gain_threshold
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,rescue_harm,margin,0.8691931540342298,0.061124694376528114,200,"thr=0.2000,cap=0.1050"
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,knn_gain,context,0.8872860635696821,0.017114914425427872,15,gain_threshold
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,rescue_harm,context,0.8833740831295844,0.022004889975550123,100,"thr=0.1442,cap=0.0700"
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,knn_gain,latent_only,0.8740831295843521,0.061124694376528114,15,tuned_threshold
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,rescue_harm,latent_only,0.8845965770171148,0.034229828850855744,15,"thr=0.3000,cap=0.0000"
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,knn_gain,context_latent,0.8738386308068459,0.07823960880195599,15,tuned_threshold
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,rescue_harm,context_latent,0.882640586797066,0.0488997555012225,25,"thr=0.2800,cap=0.1600"
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,knn_gain,uncertainty,0.882640586797066,0.019559902200488997,15,tuned_threshold
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,rescue_harm,uncertainty,0.8973105134474327,0.0,15,"thr=0.5000,cap=0.0000"
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,knn_gain,margin,0.8973105134474327,0.0,15,gain_threshold
