heldout,run,method,error,compute,selected,utility,delta_utility,threshold,calib_delta,calib_selected,inner_min_delta,inner_mean_delta,inner_median_threshold,inner_conservative_threshold
P001,cheap5_exp20,sample RF,2.476578950881958,1.0,0.0,-2.516578950881958,0.0,0.9347630143165588,2.0835042982669805e-05,0.00039261876717707107,,,,
P001,cheap5_exp20,sample RF + fallback,2.476578950881958,1.0,0.0,-2.516578950881958,0.0,0.9347630143165588,2.0835042982669805e-05,0.00039261876717707107,,,,
P001,cheap5_exp20,trajectory-aware RF median,2.4765613079071045,1.0020100502512563,0.0006700167504187605,-2.5166417099171547,-6.275903519670223e-05,0.6360897940397264,,,0.0,6.0275062860215556e-05,0.6360897940397264,0.7363343106040955
P001,cheap5_exp20,trajectory-aware RF conservative,2.476578950881958,1.0,0.0,-2.516578950881958,0.0,0.7363343106040955,,,0.0,6.0275062860215556e-05,0.6360897940397264,0.7363343106040955
P001,cheap5_exp20,trajectory-aware RF safe fallback,2.476578950881958,1.0,0.0,-2.516578950881958,0.0,0.7363343106040955,,,0.0,6.0275062860215556e-05,0.6360897940397264,0.7363343106040955
P002,cheap10_exp20,cheap-only,2.136503219604492,1.0,0.0,-2.1765032196044922,0.0,,,,,,,
P002,cheap10_exp20,all-expensive,2.1937198638916016,4.0,1.0,-2.3537198638916017,-0.17721664428710948,,,,,,,
P002,cheap10_exp20,oracle upper bound,2.092196226119995,1.4855670103092784,0.1618556701030928,-2.151618906532366,0.02488431307212613,,,,,,,
P002,cheap10_exp20,sample RF,2.136503219604492,1.0,0.0,-2.1765032196044922,0.0,0.9835851192474365,5.954652769957214e-05,0.00035612535612535614,,,,
P002,cheap10_exp20,sample RF + fallback,2.136503219604492,1.0,0.0,-2.1765032196044922,0.0,0.9835851192474365,5.954652769957214e-05,0.00035612535612535614,,,,
P002,cheap10_exp20,trajectory-aware RF median,2.1365320682525635,1.0030927835051546,0.0010309278350515464,-2.1766557795927697,-0.00015255998827745643,0.5230878458747864,,,0.0,0.0,0.5230878458747864,0.7025645838508606
P002,cheap10_exp20,trajectory-aware RF conservative,2.136503219604492,1.0,0.0,-2.1765032196044922,0.0,0.7025645838508606,,,0.0,0.0,0.5230878458747864,0.7025645838508606
P002,cheap10_exp20,trajectory-aware RF safe fallback,2.136503219604492,1.0,0.0,-2.1765032196044922,0.0,0.7025645838508606,,,0.0,0.0,0.5230878458747864,0.7025645838508606
P002,cheap5_exp20,cheap-only,2.1382877826690674,1.0,0.0,-2.1782877826690674,0.0,,,,,,,
P002,cheap5_exp20,all-expensive,2.1949431896209717,4.0,1.0,-2.354943189620972,-0.1766554069519044,,,,,,,
