lambda,heldout,variant_label,method,utility_mean,utility_std,top1_mean,top1_std,latency_mean,latency_std,select_Tiny_mean,select_Small_mean,select_Medium_mean,select_Full_mean,n
0.05,block3_h48_seed10,"3-block, H=48",fixed_Medium,0.8647819090822765,0.0014361946994767144,0.8839137645107794,0.0014361946994766504,0.382637108570064,0.0,0.0,0.0,1.0,0.0,402
0.05,block3_h48_seed10,"3-block, H=48",fixed_Small,0.8572790706369431,0.016563005269849277,0.867330016583748,0.01656300526984926,0.20101891893609566,0.0,0.0,1.0,0.0,0.0,402
0.05,block3_h48_seed10,"3-block, H=48",fixed_Tiny,0.8439182111316533,0.019744412769138735,0.8532338308457712,0.019744412769138735,0.18631239428236002,0.0,1.0,0.0,0.0,0.0,402
0.05,block3_h48_seed10,"3-block, H=48",logreg_oracle_label,0.8874058769965888,0.004001636068759066,0.8988391376451078,0.003799814009084433,0.2286652129703816,0.006067336376664722,0.7454394693200662,0.12935323383084577,0.09950248756218905,0.025704809286898837,402
0.05,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9392065497769639,0.0030062260397344834,0.9494195688225538,0.002872389398953405,0.2042603809118033,0.0031794963057557176,0.9038142620232174,0.05306799336650083,0.029021558872305144,0.014096185737976783,402
0.05,block3_h48_seed10,"3-block, H=48",rf_expected_utility,0.8860770450904333,0.005213651182763154,0.8980099502487562,0.0049751243781094995,0.238658103166461,0.009693185095705062,0.7437810945273632,0.09867330016583747,0.1252072968490879,0.03233830845771144,402
0.05,block3_h48_seed10,"3-block, H=48",rf_oracle_label,0.8822396100632455,0.004102034697526,0.8930348258706468,0.00430858409843004,0.21590431614802652,0.004402329378018009,0.7081260364842454,0.16666666666666666,0.12106135986733002,0.004145936981757877,402
0.05,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,0.899808659288496,0.015289599835673767,0.9112769485903814,0.014994312869009185,0.2293657860377097,0.006258435428737727,0.7553897180762852,0.02736318407960199,0.21724709784411278,0.0,402
0.05,block3_h72_seed14,"3-block, H=72",fixed_Full,0.757909604519774,0.010918280273178923,0.8079096045197739,0.01091828027317895,1.0,0.0,0.0,0.0,0.0,1.0,413
0.05,block3_h72_seed14,"3-block, H=72",fixed_Medium,0.8097624141437327,0.01612185985103965,0.8288942695722357,0.016121859851039744,0.3826371085700641,0.0,0.0,0.0,1.0,0.0,413
