lambda,variant,variant_label,method,utility,top1,relative_latency,select_Tiny,select_Small,select_Medium,select_Full,n
0.05,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9426763610936936,0.9527363184079602,0.20119914628533558,0.9154228855721394,0.03482587064676617,0.04228855721393035,0.007462686567164179,402
0.05,block3_h72_seed14,"3-block, H=72",fixed_Tiny,0.8066650098258337,0.8159806295399515,0.18631239428236,1.0,0.0,0.0,0.0,413
0.05,block3_h72_seed14,"3-block, H=72",fixed_Small,0.7211839208812824,0.7312348668280871,0.2010189189360956,0.0,1.0,0.0,0.0,413
0.05,block3_h72_seed14,"3-block, H=72",fixed_Medium,0.8234831566780345,0.8426150121065376,0.382637108570064,0.0,0.0,1.0,0.0,413
0.05,block3_h72_seed14,"3-block, H=72",fixed_Full,0.7684019370460048,0.8184019370460048,1.0,0.0,0.0,0.0,1.0,413
0.05,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.9313503511685424,0.9418886198547215,0.2107653737235873,0.87409200968523,0.05084745762711865,0.06053268765133172,0.014527845036319613,413
0.1,block2_h72_seed11,"2-block, H=72",fixed_Tiny,0.9344937605717637,0.953125,0.18631239428236,1.0,0.0,0.0,0.0,416
0.1,block2_h72_seed11,"2-block, H=72",fixed_Small,0.9089846465679288,0.9290865384615384,0.2010189189360956,0.0,1.0,0.0,0.0,416
0.1,block2_h72_seed11,"2-block, H=72",fixed_Medium,0.9172651352968397,0.9555288461538461,0.382637108570064,0.0,0.0,1.0,0.0,416
0.1,block2_h72_seed11,"2-block, H=72",fixed_Full,0.8747596153846156,0.9747596153846154,1.0,0.0,0.0,0.0,1.0,416
0.1,block2_h72_seed11,"2-block, H=72",oracle_multicapacity,0.9647549187680883,0.984375,0.19620081231911496,0.96875,0.01201923076923077,0.009615384615384616,0.009615384615384616,416
0.1,block2_v18_seed12,"2-block, V=1.8",fixed_Tiny,0.9762926184397842,0.9949238578680203,0.18631239428236,1.0,0.0,0.0,0.0,394
0.1,block2_v18_seed12,"2-block, V=1.8",fixed_Small,0.9672077527764409,0.9873096446700508,0.2010189189360956,0.0,1.0,0.0,0.0,394
0.1,block2_v18_seed12,"2-block, V=1.8",fixed_Medium,0.9414317206150747,0.9796954314720813,0.382637108570064,0.0,0.0,1.0,0.0,394
0.1,block2_v18_seed12,"2-block, V=1.8",fixed_Full,0.8949238578680206,0.9949238578680203,1.0,0.0,0.0,0.0,1.0,394
0.1,block2_v18_seed12,"2-block, V=1.8",oracle_multicapacity,0.981315199343606,1.0,0.18684800656393724,0.9949238578680203,0.0025380710659898475,0.0025380710659898475,0.0,394
0.1,block3_h36_seed13,"3-block, H=36",fixed_Tiny,0.8762342862441355,0.8948655256723717,0.18631239428236,1.0,0.0,0.0,0.0,409
0.1,block3_h36_seed13,"3-block, H=36",fixed_Small,0.8772086215538231,0.8973105134474327,0.2010189189360956,0.0,1.0,0.0,0.0,409
0.1,block3_h36_seed13,"3-block, H=36",fixed_Medium,0.8248169737395707,0.863080684596577,0.382637108570064,0.0,0.0,1.0,0.0,409
