lambda,variant,model,top1,latency_ms_b128,relative_latency,checkpoint_mb,params,utility,same_action_diff_state_win,same_state_diff_action_win
0.15,"3-block, H=36",Small,0.897311,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.8671581621595856,0.93643,0.99511
0.15,"3-block, H=36",Medium,0.863081,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.8056854337144904,0.9022,0.984108
0.15,"3-block, H=36",Full,0.828851,3.443699795752764,1.0,21.48245429992676,5627136,0.678851,0.863081,0.979218
0.15,"3-block, H=48",Tiny,0.868159,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.8402121408576461,0.909204,0.992537
0.15,"3-block, H=48",Small,0.853234,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.8230811621595857,0.896766,0.997512
0.15,"3-block, H=48",Medium,0.883085,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.8256894337144904,0.916667,0.995025
0.15,"3-block, H=48",Full,0.840796,3.443699795752764,1.0,21.48245429992676,5627136,0.690796,0.879353,0.992537
0.15,"3-block, H=72",Tiny,0.815981,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.788034140857646,0.868039,0.992736
0.15,"3-block, H=72",Small,0.731235,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.7010821621595856,0.786925,0.991525
0.15,"3-block, H=72",Medium,0.842615,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.7852194337144904,0.887409,0.979419
0.15,"3-block, H=72",Full,0.818402,3.443699795752764,1.0,21.48245429992676,5627136,0.6684019999999999,0.857143,0.976998
0.2,"2-block, H=72",Tiny,0.953125,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.915862521143528,0.96875,0.986779
0.2,"2-block, H=72",Small,0.929087,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.8888832162127809,0.953125,0.985577
0.2,"2-block, H=72",Medium,0.955529,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.8790015782859871,0.97476,0.986779
0.2,"2-block, H=72",Full,0.97476,3.443699795752764,1.0,21.48245429992676,5627136,0.7747599999999999,0.986779,0.986779
0.2,"2-block, V=1.8",Tiny,0.994924,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.957661521143528,1.0,0.997462
0.2,"2-block, V=1.8",Small,0.98731,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.9471062162127809,0.992386,0.998731
0.2,"2-block, V=1.8",Medium,0.979695,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.9031675782859871,0.988579,0.997462
0.2,"2-block, V=1.8",Full,0.994924,3.443699795752764,1.0,21.48245429992676,5627136,0.794924,0.998731,0.998731
0.2,"3-block, H=36",Tiny,0.894866,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.857603521143528,0.933985,0.991443
0.2,"3-block, H=36",Small,0.897311,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.8571072162127809,0.93643,0.99511
0.2,"3-block, H=36",Medium,0.863081,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.7865535782859872,0.9022,0.984108
