lambda,variant,variant_label,capacity_label,top1_mean,top1_std,utility_mean,utility_std,relative_latency,latency_ms_b128,n
0.2,block2_h72_seed11,"2-block, H=72",Medium,0.9667469999999999,0.010008089677855617,0.8902195782859872,0.010008089677855617,0.382637108570064,1.3176873326301577,3
0.2,block2_h72_seed11,"2-block, H=72",Small,0.9595356666666666,0.026369318844697804,0.9193318828794474,0.026369318844697804,0.2010189189360956,0.692248810082674,3
0.2,block2_h72_seed11,"2-block, H=72",Tiny,0.9579326666666667,0.008327122932521967,0.9206701878101947,0.008327122932521936,0.18631239428236,0.6416039541363716,3
0.2,block2_v18_seed12,"2-block, V=1.8",Full,0.9923860000000001,0.0025380000000000402,0.7923859999999999,0.0025380000000000402,1.0,3.443699795752764,3
0.2,block2_v18_seed12,"2-block, V=1.8",Medium,0.9839256666666666,0.005283668643408022,0.9073982449526539,0.005283668643408022,0.382637108570064,1.3176873326301577,3
0.2,block2_v18_seed12,"2-block, V=1.8",Small,0.9864636666666667,0.006387689749301663,0.9462598828794476,0.006387689749301663,0.2010189189360956,0.692248810082674,3
0.2,block2_v18_seed12,"2-block, V=1.8",Tiny,0.993232,0.007753718075865301,0.955969521143528,0.0077537180758652895,0.18631239428236,0.6416039541363716,3
0.2,block3_h36_seed13,"3-block, H=36",Full,0.854931,0.023747147723463584,0.654931,0.0237471477234635,1.0,3.443699795752764,3
0.2,block3_h36_seed13,"3-block, H=36",Medium,0.8785660000000001,0.01390285851902403,0.8020385782859871,0.01390285851902403,0.382637108570064,1.3176873326301577,3
0.2,block3_h36_seed13,"3-block, H=36",Small,0.8687860000000001,0.024974132117052673,0.8285822162127809,0.024974132117052673,0.2010189189360956,0.692248810082674,3
0.2,block3_h36_seed13,"3-block, H=36",Tiny,0.876121,0.02108000296489546,0.838858521143528,0.02108000296489546,0.18631239428236,0.6416039541363716,3
0.2,block3_h48_seed10,"3-block, H=48",Full,0.8723053333333333,0.029988871424802506,0.6723053333333334,0.029988871424802523,1.0,3.443699795752764,3
0.2,block3_h48_seed10,"3-block, H=48",Medium,0.883914,0.0014358701194746091,0.8073865782859873,0.0014358701194746091,0.382637108570064,1.3176873326301577,3
0.2,block3_h48_seed10,"3-block, H=48",Small,0.8673299999999999,0.016562866539340346,0.8271262162127808,0.016562866539340346,0.2010189189360956,0.692248810082674,3
0.2,block3_h48_seed10,"3-block, H=48",Tiny,0.853234,0.01974429712600582,0.815971521143528,0.019744297126005794,0.18631239428236,0.6416039541363716,3
0.2,block3_h72_seed14,"3-block, H=72",Full,0.8079096666666666,0.010918409056878763,0.6079096666666667,0.010918409056878733,1.0,3.443699795752764,3
0.2,block3_h72_seed14,"3-block, H=72",Medium,0.8288943333333334,0.01612188997398675,0.7523669116193205,0.01612188997398675,0.382637108570064,1.3176873326301577,3
0.2,block3_h72_seed14,"3-block, H=72",Small,0.7917676666666668,0.05935905007101564,0.7515638828794476,0.05935905007101564,0.2010189189360956,0.692248810082674,3
0.2,block3_h72_seed14,"3-block, H=72",Tiny,0.8095236666666666,0.03196989825340913,0.7722611878101947,0.03196989825340912,0.18631239428236,0.6416039541363716,3
0.3,block2_h72_seed11,"2-block, H=72",Full,0.9739583333333334,0.006049470417593055,0.6739583333333333,0.006049470417593055,1.0,3.443699795752764,3
0.3,block2_h72_seed11,"2-block, H=72",Medium,0.9667469999999999,0.010008089677855617,0.8519558674289808,0.010008089677855617,0.382637108570064,1.3176873326301577,3
0.3,block2_h72_seed11,"2-block, H=72",Small,0.9595356666666666,0.026369318844697804,0.899229990985838,0.026369318844697804,0.2010189189360956,0.692248810082674,3
0.3,block2_h72_seed11,"2-block, H=72",Tiny,0.9579326666666667,0.008327122932521967,0.9020389483819585,0.008327122932521936,0.18631239428236,0.6416039541363716,3
0.3,block2_v18_seed12,"2-block, V=1.8",Full,0.9923860000000001,0.0025380000000000402,0.692386,0.0025380000000000402,1.0,3.443699795752764,3
0.3,block2_v18_seed12,"2-block, V=1.8",Medium,0.9839256666666666,0.005283668643408022,0.8691345340956476,0.0052836686434079416,0.382637108570064,1.3176873326301577,3
0.3,block2_v18_seed12,"2-block, V=1.8",Small,0.9864636666666667,0.006387689749301663,0.9261579909858381,0.006387689749301663,0.2010189189360956,0.692248810082674,3
0.3,block2_v18_seed12,"2-block, V=1.8",Tiny,0.993232,0.007753718075865301,0.937338281715292,0.0077537180758652895,0.18631239428236,0.6416039541363716,3
0.3,block3_h36_seed13,"3-block, H=36",Full,0.854931,0.023747147723463584,0.554931,0.023747147723463605,1.0,3.443699795752764,3
0.3,block3_h36_seed13,"3-block, H=36",Medium,0.8785660000000001,0.01390285851902403,0.7637748674289808,0.013902858519024022,0.382637108570064,1.3176873326301577,3
0.3,block3_h36_seed13,"3-block, H=36",Small,0.8687860000000001,0.024974132117052673,0.8084803243191713,0.024974132117052673,0.2010189189360956,0.692248810082674,3
0.3,block3_h36_seed13,"3-block, H=36",Tiny,0.876121,0.02108000296489546,0.820227281715292,0.02108000296489546,0.18631239428236,0.6416039541363716,3
0.3,block3_h48_seed10,"3-block, H=48",Full,0.8723053333333333,0.029988871424802506,0.5723053333333333,0.029988871424802423,1.0,3.443699795752764,3
0.3,block3_h48_seed10,"3-block, H=48",Medium,0.883914,0.0014358701194746091,0.7691228674289808,0.0014358701194746811,0.382637108570064,1.3176873326301577,3
0.3,block3_h48_seed10,"3-block, H=48",Small,0.8673299999999999,0.016562866539340346,0.8070243243191714,0.016562866539340346,0.2010189189360956,0.692248810082674,3
0.3,block3_h48_seed10,"3-block, H=48",Tiny,0.853234,0.01974429712600582,0.797340281715292,0.019744297126005794,0.18631239428236,0.6416039541363716,3
0.3,block3_h72_seed14,"3-block, H=72",Full,0.8079096666666666,0.010918409056878763,0.5079096666666667,0.010918409056878799,1.0,3.443699795752764,3
0.3,block3_h72_seed14,"3-block, H=72",Medium,0.8288943333333334,0.01612188997398675,0.714103200762314,0.016121889973986725,0.382637108570064,1.3176873326301577,3
0.3,block3_h72_seed14,"3-block, H=72",Small,0.7917676666666668,0.05935905007101564,0.7314619909858381,0.05935905007101564,0.2010189189360956,0.692248810082674,3
0.3,block3_h72_seed14,"3-block, H=72",Tiny,0.8095236666666666,0.03196989825340913,0.7536299483819585,0.03196989825340912,0.18631239428236,0.6416039541363716,3
