lambda,heldout,variant_label,utility,top1,relative_latency,select_Tiny,select_Small,select_Medium,select_Full,method
0.1,block3_h48_seed10,"3-block, H=48",0.8495279645518633,0.8681592039800995,0.18631239428236002,1.0,0.0,0.0,0.0,fixed_Tiny
0.1,block3_h48_seed10,"3-block, H=48",0.8331319389521614,0.8532338308457711,0.20101891893609564,0.0,1.0,0.0,0.0,fixed_Small
0.1,block3_h48_seed10,"3-block, H=48",0.8448208662574214,0.8830845771144279,0.382637108570064,0.0,0.0,1.0,0.0,fixed_Medium
0.1,block3_h48_seed10,"3-block, H=48",0.7407960199004977,0.8407960199004975,1.0,0.0,0.0,0.0,1.0,fixed_Full
0.1,block3_h48_seed10,"3-block, H=48",0.9326164037794266,0.9527363184079602,0.20119914628533558,0.9154228855721394,0.03482587064676617,0.04228855721393035,0.007462686567164179,oracle_multicapacity
0.1,block3_h48_seed10,"3-block, H=48",0.8941668794904026,0.9154228855721394,0.21256006081736492,0.7512437810945274,0.12437810945273632,0.12437810945273632,0.0,ridge_expected_utility
0.1,block3_h48_seed10,"3-block, H=48",0.8654228805602084,0.8855721393034826,0.20149258743274068,0.7910447761194029,0.15920398009950248,0.04477611940298507,0.004975124378109453,rf_expected_utility
0.1,block3_h48_seed10,"3-block, H=48",0.8588413074366451,0.8781094527363185,0.19268145299673153,0.7512437810945274,0.23383084577114427,0.014925373134328358,0.0,logreg_oracle_label
0.1,block3_h48_seed10,"3-block, H=48",0.8610580525020521,0.8805970149253731,0.19538962423320708,0.763681592039801,0.21393034825870647,0.01990049751243781,0.0024875621890547263,rf_oracle_label
0.15,block3_h48_seed10,"3-block, H=48",0.8402123448377457,0.8681592039800995,0.18631239428236002,1.0,0.0,0.0,0.0,fixed_Tiny
0.15,block3_h48_seed10,"3-block, H=48",0.8230809930053568,0.8532338308457711,0.20101891893609564,0.0,1.0,0.0,0.0,fixed_Small
0.15,block3_h48_seed10,"3-block, H=48",0.8256890108289185,0.8830845771144279,0.382637108570064,0.0,0.0,1.0,0.0,fixed_Medium
0.15,block3_h48_seed10,"3-block, H=48",0.6907960199004973,0.8407960199004975,1.0,0.0,0.0,0.0,1.0,fixed_Full
0.15,block3_h48_seed10,"3-block, H=48",0.9225564464651599,0.9527363184079602,0.20119914628533558,0.9154228855721394,0.03482587064676617,0.04228855721393035,0.007462686567164179,oracle_multicapacity
0.15,block3_h48_seed10,"3-block, H=48",0.8842714313535932,0.9154228855721394,0.20767636145697427,0.7761194029850746,0.12437810945273632,0.09950248756218906,0.0,ridge_expected_utility
0.15,block3_h48_seed10,"3-block, H=48",0.8511946353289862,0.8805970149253731,0.19601586397591314,0.8009950248756219,0.16169154228855723,0.03731343283582089,0.0,rf_expected_utility
0.15,block3_h48_seed10,"3-block, H=48",0.8492072347868087,0.8781094527363185,0.19268145299673153,0.7512437810945274,0.23383084577114427,0.014925373134328358,0.0,logreg_oracle_label
0.15,block3_h48_seed10,"3-block, H=48",0.8512885712903921,0.8805970149253731,0.19538962423320708,0.763681592039801,0.21393034825870647,0.01990049751243781,0.0024875621890547263,rf_oracle_label
0.2,block3_h48_seed10,"3-block, H=48",0.8308967251236271,0.8681592039800995,0.18631239428236002,1.0,0.0,0.0,0.0,fixed_Tiny
0.2,block3_h48_seed10,"3-block, H=48",0.8130300470585521,0.8532338308457711,0.20101891893609564,0.0,1.0,0.0,0.0,fixed_Small
0.2,block3_h48_seed10,"3-block, H=48",0.806557155400415,0.8830845771144279,0.382637108570064,0.0,0.0,1.0,0.0,fixed_Medium
0.2,block3_h48_seed10,"3-block, H=48",0.6407960199004974,0.8407960199004975,1.0,0.0,0.0,0.0,1.0,fixed_Full
0.2,block3_h48_seed10,"3-block, H=48",0.9124964891508929,0.9527363184079602,0.20119914628533558,0.9154228855721394,0.03482587064676617,0.04228855721393035,0.007462686567164179,oracle_multicapacity
0.2,block3_h48_seed10,"3-block, H=48",0.8626902974534433,0.9029850746268657,0.20147388586711054,0.7985074626865671,0.13432835820895522,0.06716417910447761,0.0,ridge_expected_utility
0.2,block3_h48_seed10,"3-block, H=48",0.8417552713632929,0.8805970149253731,0.19420871781040103,0.8009950248756219,0.17164179104477612,0.02736318407960199,0.0,rf_expected_utility
0.2,block3_h48_seed10,"3-block, H=48",0.8395731621369719,0.8781094527363185,0.19268145299673153,0.7512437810945274,0.23383084577114427,0.014925373134328358,0.0,logreg_oracle_label
0.2,block3_h48_seed10,"3-block, H=48",0.8415190900787315,0.8805970149253731,0.19538962423320708,0.763681592039801,0.21393034825870647,0.01990049751243781,0.0024875621890547263,rf_oracle_label
