variant,variant_label,lambda,feature,std,corr_gain,corr_route,auc_route,mean_route1,mean_route0,n,route_rate
block2_h72_seed11,"2-block, H=72",0.05,velocity_norm,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,blocked_norm,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,blocked_x_horizon,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,blocked_x_velocity,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,complexity_score,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,uncertainty_x_blocked,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,uncertainty_x_horizon,0.1234531795137686,0.39508409171217274,0.43636808323487825,0.8970464135021097,0.29376880327860516,0.04770915832700608,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,uncertainty_x_velocity,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,margin_x_blocked,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,best_dist_x_blocked,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,second_dist_x_blocked,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,npz_anchor_blocked,0.4999942214902775,0.13453240396073568,0.16358936449276412,0.6867992766726944,0.8571428571428571,0.4835443037974684,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,npz_candidate_blocked_mean,0.18235800089953347,-0.084406134103685,-0.10652498762334298,0.36088004822182035,0.3619047687167213,0.4506329236151297,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,npz_candidate_blocked_std,0.04217011233062565,0.0269168129624231,0.020255679751723092,0.6217600964436407,0.4642128405116853,0.4603112946582746,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,npz_blocked_mismatch_frac,0.11746423193476248,-0.0124979726663871,-0.0037299320397244143,0.4912597950572634,0.6476190476190476,0.6496202531645568,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,npz_state_dist_min,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,npz_state_dist_mean,0.010695333300257692,0.0665112105434807,0.07033798488062128,0.5844484629294756,0.04202200197392986,0.0385858736012744,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,npz_state_dist_max,0.026661750485525947,0.06604191995613176,0.08261287034067528,0.6136226642555757,0.12560003020224117,0.11553948522557186,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,npz_state_dist_std,0.012213022802397819,0.08281906890617807,0.09190889993716347,0.6154309825195902,0.05498578426029001,0.04985875410935547,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,npz_same_state_neg_frac,0.0,,,0.5,0.4000000000000001,0.4,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,npz_same_action_neg_frac,0.0,,,0.5,0.4000000000000001,0.4,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,action_1_x_blocked,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,action_1_x_horizon,0.4228515024465465,0.13727319868399007,0.15847957469415544,0.6530440024110911,0.5238095238095238,0.21772151898734177,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,action_2_x_blocked,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,action_2_x_horizon,0.42731703929401865,-0.06261359500121358,-0.05262448494633878,0.44864376130198913,0.14285714285714285,0.24556962025316456,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,action_3_x_blocked,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,action_3_x_horizon,0.4460284555228452,0.04190094895059951,0.03065248350651504,0.5312236286919831,0.3333333333333333,0.2708860759493671,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,action_4_x_blocked,0.0,,,0.5,0.0,0.0,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,action_4_x_horizon,0.43439169490287416,-0.11505592396338785,-0.13397555184436494,0.3670886075949367,0.0,0.26582278481012656,416,0.05048076923076923
block2_v18_seed12,"2-block, V=1.8",0.05,cheap_confidence,0.0808349845793146,-0.32878015733304694,-0.4634299860730231,0.01282051282051282,0.6037972196936607,0.9774923286376855,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,cheap_uncertainty,0.08083498457931458,0.3287801573330469,0.46342998607302294,0.9871794871794872,0.39620278030633926,0.022507671362314463,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,cheap_best_distance,0.27447406474895675,-0.01499531453690429,0.018538487111744256,0.5121794871794871,1.9058522880077362,1.8550937007635067,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,cheap_second_best_distance,0.25834078163400864,-0.05255473059488549,-0.03496123731019708,0.367948717948718,1.9194830358028412,2.0095807320032364,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,cheap_pred_margin,0.07214829945669421,-0.13113552666606043,-0.1957114359145833,0.014102564102564103,0.01363074779510495,0.15448703123972965,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,action_1,0.4522683117162635,0.05690037943725889,0.04774023984110265,0.6076923076923076,0.5,0.2846153846153846,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,action_2,0.44212731731297766,-0.09191023307588433,-0.061044061372090654,0.36538461538461536,0.0,0.2692307692307692,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,action_3,0.40777727456388635,0.020380271474047397,0.009770350630711437,0.5198717948717949,0.25,0.21025641025641026,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,action_4,0.42464743019976403,0.015521522595079888,0.0033291676016407243,0.507051282051282,0.25,0.2358974358974359,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,horizon_norm,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,velocity_norm,0.0,,,0.5,1.0000000000000002,1.0000000000000002,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,blocked_norm,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,blocked_x_horizon,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,blocked_x_velocity,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,complexity_score,0.0,,,0.5,0.5000000000000001,0.5000000000000001,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,uncertainty_x_blocked,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,uncertainty_x_horizon,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,uncertainty_x_velocity,0.08083498457931461,0.3287801573330469,0.46342998607302294,0.9871794871794872,0.3962027803063393,0.02250767136231447,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,margin_x_blocked,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,best_dist_x_blocked,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,second_dist_x_blocked,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
