lambda,heldout,variant_label,method,utility,ci95_low,ci95_high,delta_vs_fixed,delta_ci95_low,delta_ci95_high,stable_positive_vs_fixed,oracle_gap,n
0.1,block3_h36_seed13,"3-block, H=36",rf_oracle_label,0.8744046712635253,0.8425502421492839,0.9038665436777212,-0.0028039502902978022,-0.028499611314703462,0.023283819421951516,False,0.06508378109572821,409
0.15,block3_h36_seed13,"3-block, H=36",best_fixed_Small,0.8671576756070184,0.8378178223062849,0.8964975289077518,0.0,0.0,0.0,False,0.06285739901988197,409
0.15,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9300150746269004,0.9101338753029969,0.9472901732830874,0.06285739901988197,,,True,0.0,409
0.15,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,0.8500873622809607,0.8176198545329229,0.8818375966610749,-0.017070313326057723,-0.04618153633756812,0.010224605546981218,False,0.07992771234593965,409
0.15,block3_h36_seed13,"3-block, H=36",rf_expected_utility,0.8610559291294492,0.8287765241266309,0.8911216850278664,-0.006101746477569272,-0.0354775227868493,0.023145993984773,False,0.06895914549745119,409
0.15,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,0.8569509449130073,0.8262487663154822,0.8858909269021559,-0.01020673069401124,-0.04196784890241434,0.02160140779370767,False,0.07306412971389309,409
0.15,block3_h36_seed13,"3-block, H=36",rf_oracle_label,0.8629517501715719,0.8315850147731383,0.8918863097108687,-0.004205925435446712,-0.030303086551531206,0.022339464504846557,False,0.06706332445532848,409
0.2,block3_h36_seed13,"3-block, H=36",best_fixed_Tiny,0.8576030468158993,0.8258182057401047,0.8869429001166328,0.0,0.0,0.0,False,0.06293865007864707,409
0.2,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9205416968945463,0.898842487015178,0.9398811882388213,0.06293865007864707,,,True,0.0,409
0.2,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,0.8390861161995662,0.8065976830351133,0.870090429456944,-0.01851693061633336,-0.045329268735435836,0.006994227218664768,False,0.08145558069498016,409
0.2,block3_h36_seed13,"3-block, H=36",rf_expected_utility,0.8515408674062568,0.8196443197765482,0.8814428909885393,-0.006062179409642601,-0.028164393029910008,0.01546366080624392,False,0.06900082948828956,409
0.2,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,0.8443127513265521,0.8124913363491659,0.8738952541703032,-0.013290295489347305,-0.038990089863595805,0.012552269860905223,False,0.0762289455679942,409
0.2,block3_h36_seed13,"3-block, H=36",rf_oracle_label,0.8514988290796178,0.8204290970292494,0.8816354628372295,-0.0061042177362816445,-0.032955814903257705,0.021569887157868867,False,0.06904286781492852,409
0.3,block3_h36_seed13,"3-block, H=36",best_fixed_Tiny,0.8389718073876636,0.8096319540869301,0.865866672913336,0.0,0.0,0.0,False,0.0626231340421759,409
0.3,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9015949414298395,0.8803156377620183,0.9188214977674872,0.0626231340421759,,,True,0.0,409
0.3,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,0.8297945091953093,0.7992375412080097,0.85982219366713,-0.009177298192354352,-0.03408103036004648,0.01642874564633009,False,0.07180043223453025,409
0.3,block3_h36_seed13,"3-block, H=36",rf_expected_utility,0.8304437649229531,0.7982467755075998,0.8607245918945147,-0.00852804246471055,-0.03012249643031766,0.012122225035047696,False,0.0711511765068864,409
0.3,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,0.8190363641536427,0.7865830518734775,0.8489746581997769,-0.019935443234020963,-0.04546227875941695,0.005426758969224598,False,0.08255857727619687,409
0.3,block3_h36_seed13,"3-block, H=36",rf_oracle_label,0.8285929868957107,0.7976925569322025,0.8580804339976033,-0.01037882049195303,-0.03696657879701959,0.01823493365887103,False,0.07300195453412883,409
0.0,block3_h48_seed10,"3-block, H=48",best_fixed_Medium,0.8830845771144279,0.8507462686567164,0.9154228855721394,0.0,0.0,0.0,False,0.06965174129353235,402
0.0,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9527363184079602,0.9303482587064676,0.972636815920398,0.06965174129353235,,,True,0.0,402
0.0,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,0.917910447761194,0.8905472636815921,0.9427860696517413,0.03482587064676617,0.012437810945273632,0.05970149253731343,True,0.03482587064676623,402
0.0,block3_h48_seed10,"3-block, H=48",rf_expected_utility,0.8855721393034826,0.8532338308457711,0.9154228855721394,0.0024875621890547263,-0.029850746268656716,0.03482587064676617,False,0.0671641791044777,402
0.0,block3_h48_seed10,"3-block, H=48",logreg_oracle_label,0.8781094527363185,0.8432835820895522,0.9104477611940298,-0.004975124378109453,-0.03731343283582089,0.02736318407960199,False,0.07462686567164178,402
0.0,block3_h48_seed10,"3-block, H=48",rf_oracle_label,0.8805970149253731,0.8482587064676617,0.9104477611940298,-0.0024875621890547263,-0.03482587064676617,0.03233830845771144,False,0.07213930348258712,402
0.01,block3_h48_seed10,"3-block, H=48",best_fixed_Medium,0.8792582060287273,0.8469198975710158,0.909108952297384,0.0,0.0,0.0,False,0.0714661209163795,402
0.01,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9507243269451068,0.9283804538594659,0.9705937551551618,0.0714661209163795,,,True,0.0,402
0.01,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,0.9128815575961979,0.885420789560736,0.9378485633430574,0.03362335156747079,0.01121428390347941,0.05615199196129825,True,0.037842769348908845,402
0.01,block3_h48_seed10,"3-block, H=48",rf_expected_utility,0.8833506260654014,0.8533791679989237,0.9131679840033956,0.0040924200366742524,-0.028220404479242903,0.03642676514546228,False,0.0673737008797054,402
0.01,block3_h48_seed10,"3-block, H=48",logreg_oracle_label,0.876182638206351,0.8438409517340307,0.9060449901893103,-0.0030755678223761706,-0.035425841878939414,0.029283372934616657,False,0.07454168873875577,402
0.01,block3_h48_seed10,"3-block, H=48",rf_oracle_label,0.878643118683041,0.8486398913838343,0.9085001507091792,-0.0006150873456862019,-0.032983699597767834,0.031734097115862586,False,0.07208120826206577,402
0.02,block3_h48_seed10,"3-block, H=48",best_fixed_Medium,0.8754318349430266,0.8430935264853152,0.9052825812116834,0.0,0.0,0.0,False,0.07328050053922697,402
0.02,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9487123354822535,0.9287166152436177,0.9685724634152918,0.07328050053922697,,,True,0.0,402
0.02,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,0.910469247926599,0.8805810156532293,0.9355647329653132,0.03503741298357247,0.012687269295990553,0.05751040683060532,True,0.03824308755565453,402
0.02,block3_h48_seed10,"3-block, H=48",rf_expected_utility,0.8811396118939343,0.8486857589826031,0.9110744232704474,0.005707776950907861,-0.026473595280409146,0.03777455039097437,False,0.06757272358831923,402
0.02,block3_h48_seed10,"3-block, H=48",logreg_oracle_label,0.8742558236763838,0.8419050704715848,0.9041207273511206,-0.0011760112666428068,-0.035983835136353906,0.031196196996163657,False,0.07445651180586976,402
0.02,block3_h48_seed10,"3-block, H=48",rf_oracle_label,0.8766892224407089,0.8443547051855533,0.9066014488130273,0.001257387497682403,-0.03356464226029807,0.033661590751014936,False,0.07202311304154463,402
0.05,block3_h48_seed10,"3-block, H=48",best_fixed_Medium,0.8639527216859249,0.8316144132282134,0.8938034679545817,0.0,0.0,0.0,False,0.07872363940776872,402
0.05,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9426763610936936,0.9204545307198054,0.9625282341015742,0.07872363940776872,,,True,0.0,402
0.05,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,0.9063478621658676,0.8785919438743217,0.9313727882396532,0.042395140479942826,0.019328258341188714,0.06746172063901908,True,0.03632849892782597,402
0.05,block3_h48_seed10,"3-block, H=48",rf_expected_utility,0.8748451017212021,0.8423352950179278,0.9050738613146876,0.010892380035277358,-0.021393938328567765,0.042906051186607584,False,0.06783125937249146,402
0.05,block3_h48_seed10,"3-block, H=48",logreg_oracle_label,0.868475380086482,0.8360284226231643,0.8984476252781194,0.004522658400557135,-0.02774059514400191,0.03689456095072231,False,0.07420098100721162,402
0.05,block3_h48_seed10,"3-block, H=48",rf_oracle_label,0.8708275337137128,0.8384200844783606,0.9007923348258284,0.006874812027788084,-0.025560665129574126,0.03919115760310749,False,0.07184882737998077,402
0.1,block3_h48_seed10,"3-block, H=48",best_fixed_Tiny,0.8495279645518633,0.8147020939050972,0.8818662730095748,0.0,0.0,0.0,False,0.08308843922756326,402
0.1,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9326164037794266,0.9102662060531395,0.9525097675299053,0.08308843922756326,,,True,0.0,402
0.1,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,0.8941668794904026,0.8668607298654213,0.9213191694911267,0.0446389149385393,0.024853925818206554,0.06653177728200743,True,0.03844952428902393,402
0.1,block3_h48_seed10,"3-block, H=48",rf_expected_utility,0.8654228805602084,0.8332234521092242,0.8951982687124005,0.01589491600834501,-0.005934828613350209,0.03811122218670972,False,0.06719352321921812,402
