state_id,side,action,start_dist,object_x0,object_y0,object_x1,object_y1,pusher_x0,pusher_y0,pusher_x1,pusher_y1,object_disp,pusher_disp,contact
66,back,right,0.16829839042704245,-0.019596822559833527,-0.05952027067542076,-0.019596822559833527,-0.05952027067542076,-0.019596822559833527,-0.22781866788864136,0.23699167370796204,-0.22781866788864136,0.0,0.25658848881721497,0
66,back,left,0.16829839042704245,-0.019596822559833527,-0.05952027067542076,-0.019596822559833527,-0.05952027067542076,-0.019596822559833527,-0.22781866788864136,-0.2761853039264679,-0.22781866788864136,0.0,0.25658848881721497,0
66,back,forward,0.16829839042704245,-0.019596822559833527,-0.05952027067542076,-0.019852105528116226,0.13438379764556885,-0.019596822559833527,-0.22781866788864136,-0.019589360803365707,0.01848268322646618,0.19390423595905304,0.24630135297775269,1
66,back,backward,0.16829839042704245,-0.019596822559833527,-0.05952027067542076,-0.019596822559833527,-0.05952027067542076,-0.019596822559833527,-0.22781866788864136,-0.019596822559833527,-0.4844071567058563,0.0,0.25658848881721497,0
67,front,stay,0.1699918976784563,0.08336448669433594,-0.06901378184556961,0.08336448669433594,-0.06901378184556961,0.08336448669433594,0.10097811371088028,0.08336448669433594,0.10097811371088028,0.0,0.0,0
67,front,right,0.1699918976784563,0.08336448669433594,-0.06901378184556961,0.08336448669433594,-0.06901378184556961,0.08336448669433594,0.10097811371088028,0.3399529755115509,0.10097811371088028,0.0,0.25658848881721497,0
67,front,left,0.1699918976784563,0.08336448669433594,-0.06901378184556961,0.08336448669433594,-0.06901378184556961,0.08336448669433594,0.10097811371088028,-0.17322400212287903,0.10097811371088028,0.0,0.25658848881721497,0
67,front,forward,0.1699918976784563,0.08336448669433594,-0.06901378184556961,0.08336448669433594,-0.06901378184556961,0.08336448669433594,0.10097811371088028,0.08336448669433594,0.35756659507751465,0.0,0.25658848881721497,0
67,front,backward,0.1699918976784563,0.08336448669433594,-0.06901378184556961,0.083467997610569,-0.2622256875038147,0.08336448669433594,0.10097811371088028,0.08335817605257034,-0.14543196558952332,0.19321194291114807,0.246410071849823,1
68,left,stay,0.17791646661739832,5.910644176765345e-05,-0.0760500356554985,5.910644176765345e-05,-0.0760500356554985,-0.17785735428333282,-0.0760500356554985,-0.17785735428333282,-0.0760500356554985,0.0,0.0,0
68,left,right,0.17791646661739832,5.910644176765345e-05,-0.0760500356554985,0.19034700095653534,-0.07612434774637222,-0.17785735428333282,-0.0760500356554985,0.06863447278738022,-0.07604651153087616,0.19028788805007935,0.24649181962013245,1
68,left,left,0.17791646661739832,5.910644176765345e-05,-0.0760500356554985,5.910644176765345e-05,-0.0760500356554985,-0.17785735428333282,-0.0760500356554985,-0.434445858001709,-0.0760500356554985,0.0,0.25658851861953735,0
68,left,forward,0.17791646661739832,5.910644176765345e-05,-0.0760500356554985,5.910644176765345e-05,-0.0760500356554985,-0.17785735428333282,-0.0760500356554985,-0.17785735428333282,0.18053846061229706,0.0,0.25658848881721497,0
68,left,backward,0.17791646661739832,5.910644176765345e-05,-0.0760500356554985,5.910644176765345e-05,-0.0760500356554985,-0.17785735428333282,-0.0760500356554985,-0.17785735428333282,-0.33263853192329407,0.0,0.25658848881721497,0
69,right,stay,0.1787474619924189,0.021371837705373764,-0.020509719848632812,0.021371837705373764,-0.020509719848632812,0.20011930167675018,-0.020509719848632812,0.20011930167675018,-0.020509719848632812,0.0,0.0,0
69,right,right,0.1787474619924189,0.021371837705373764,-0.020509719848632812,0.021371837705373764,-0.020509719848632812,0.20011930167675018,-0.020509719848632812,0.45670780539512634,-0.020509719848632812,0.0,0.25658851861953735,0
69,right,left,0.1787474619924189,0.021371837705373764,-0.020509719848632812,-0.1667722910642624,-0.020374197512865067,0.20011930167675018,-0.020509719848632812,-0.046472951769828796,-0.02051718533039093,0.18814417719841003,0.24659225344657898,1
69,right,forward,0.1787474619924189,0.021371837705373764,-0.020509719848632812,0.021371837705373764,-0.020509719848632812,0.20011930167675018,-0.020509719848632812,0.20011930167675018,0.23607876896858215,0.0,0.25658848881721497,0
69,right,backward,0.1787474619924189,0.021371837705373764,-0.020509719848632812,0.021371837705373764,-0.020509719848632812,0.20011930167675018,-0.020509719848632812,0.20011930167675018,-0.2770982086658478,0.0,0.25658848881721497,0
70,back,stay,0.14922858031818453,0.02921469323337078,0.026632828637957573,0.02921469323337078,0.026632828637957573,0.02921469323337078,-0.12259575724601746,0.02921469323337078,-0.12259575724601746,0.0,0.0,0
70,back,right,0.14922858031818453,0.02921469323337078,0.026632828637957573,0.02921469323337078,0.026632828637957573,0.02921469323337078,-0.12259575724601746,0.2858031988143921,-0.12259575724601746,0.0,0.25658851861953735,0
70,back,left,0.14922858031818453,0.02921469323337078,0.026632828637957573,0.02921469323337078,0.026632828637957573,0.02921469323337078,-0.12259575724601746,-0.22737380862236023,-0.12259575724601746,0.0,0.25658848881721497,0
70,back,forward,0.14922858031818453,0.02921469323337078,0.026632828637957573,0.02906218357384205,0.23438066244125366,0.02921469323337078,-0.12259575724601746,0.029229730367660522,0.12305191904306412,0.20774787664413452,0.24564766883850098,1
