state_id,side,mean_future_xy_spread,max_future_xy_spread,contact_action_count,moving_contact_action_count,strong_displacement_action_count,rotation_action_count,nondegenerate,contact_mode_nontrivial
255,front,0.06003848314285278,0.15009620785713196,1,1,1,0,1,1
256,left,0.0,0.0,0,0,0,0,0,0
257,right,0.0,0.0,0,0,0,0,0,0
258,back,0.05096414089202881,0.12741035223007202,1,1,1,0,1,1
259,front,0.04044531285762787,0.10111328214406967,1,1,1,0,1,1
260,left,0.05925002098083496,0.1481250524520874,1,1,1,0,1,1
261,right,0.08751275539398193,0.21878188848495483,1,1,1,0,1,1
262,back,0.016573670506477355,0.04143417626619339,1,1,0,1,1,1
263,front,0.0310717910528183,0.07767947763204575,1,1,1,1,1,1
264,left,0.021012772619724274,0.052531931549310684,1,1,0,1,1,1
265,right,0.08576036691665649,0.21440091729164124,1,1,1,1,1,1
266,back,0.0,0.0,0,0,0,0,0,0
267,front,0.0,0.0,0,0,0,0,0,0
268,left,0.0,0.0,0,0,0,0,0,0
269,right,0.0069831423461437225,0.017457855865359306,1,1,0,1,0,1
270,back,0.0006879793877715201,0.0017194011015817523,1,1,0,0,0,1
271,front,0.06708387136459351,0.16770967841148376,1,1,1,0,1,1
272,left,0.0678974986076355,0.16974374651908875,1,1,1,0,1,1
273,right,0.06983761191368103,0.17459402978420258,1,1,1,0,1,1
274,back,0.0,0.0,0,0,0,0,0,0
275,front,0.03966342806816101,0.09915857017040253,1,1,1,1,1,1
276,left,0.06003242135047913,0.15008105337619781,1,1,1,0,1,1
277,right,0.05662456154823303,0.14156140387058258,1,1,1,0,1,1
278,back,0.040641045570373534,0.10160261392593384,1,1,1,1,1,1
279,front,0.0,0.0,0,0,0,0,0,0
280,left,0.05728069543838501,0.14320173859596252,1,1,1,0,1,1
281,right,0.03073275089263916,0.0768318772315979,1,1,1,1,1,1
282,back,0.05670708417892456,0.1417677104473114,1,1,1,0,1,1
283,front,0.0,0.0,0,0,0,0,0,0
284,left,0.014968195557594299,0.03742048889398575,1,1,0,1,1,1
285,right,0.055275356769561766,0.13818839192390442,1,1,1,0,1,1
286,back,0.06476514339447022,0.16191285848617554,1,1,1,0,1,1
287,front,0.05457358956336975,0.13643397390842438,1,1,1,0,1,1
288,left,0.06791899204254151,0.16979748010635376,1,1,1,0,1,1
289,right,0.07207224369049073,0.1801806092262268,1,1,1,0,1,1
290,back,0.05478185415267944,0.1369546353816986,1,1,1,0,1,1
291,front,0.0,0.0,0,0,0,0,0,0
292,left,0.0484387069940567,0.12109676748514175,1,1,1,0,1,1
293,right,0.059223830699920654,0.14805957674980164,1,1,1,1,1,1
294,back,0.05859624743461609,0.14649061858654022,1,1,1,0,1,1
295,front,0.0607642412185669,0.15191060304641724,1,1,1,1,1,1
296,left,0.05687585473060608,0.1421896368265152,1,1,1,0,1,1
297,right,0.05699245929718018,0.14248114824295044,1,1,1,0,1,1
298,back,0.04031492471694946,0.10078731179237366,1,1,1,1,1,1
